School,Borough,Tested,Passed,8th graders,7,Gain/Loss,% Tested,% Passed,% Passed Overall,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index
The Christa McAuliffe School\I.S. 187,Brooklyn,251,205,274,19,-186,91.6,81.7,74.8,67.5,1.3,6.8,23.9,11.3,3.3,65.8,57.9%
Mark Twain I.S. 239 for the Gifted & Talented,Brooklyn,336,196,429,30,-166,78.3,58.3,45.7,27.8,6.9,5.7,51.4,11.9,1.1,37.7,35.0%
J.H.S. 054 Booker T. Washington,Manhattan,257,150,282,20,-130,91.1,58.4,53.2,11.0,8.6,14.7,57.7,11.5,1.1,23.8,21.6%
New York City Lab Middle School for Collaborative,Manhattan,163,113,181,13,-100,90.1,69.3,62.4,55.1,2.0,6.5,30.0,16.4,1.4,38.3,38.1%
M.S. 51 William Alexander,Brooklyn,280,122,369,26,-96,75.9,43.6,33.1,16.4,7.6,20.4,51.0,17.7,2.2,28.7,32.5%
"New Explorations into Science, Technology and Math",Manhattan,126,91,136,10,-81,92.6,72.2,66.9,33.2,7.7,11.8,39.9,8.0,0.8,22.8,27.8%
I.S. 98 Bay Academy,Brooklyn,372,104,495,35,-69,75.2,28.0,21.0,27.3,2.8,8.8,58.6,9.2,1.4,55.0,48.3%
J.H.S. 074 Nathaniel Hawthorne,Queens,233,95,417,29,-66,55.9,40.8,22.8,66.5,4.3,10.7,17.4,13.2,7.6,48.4,38.4%
East Side Middle School,Manhattan,124,75,152,11,-64,81.6,60.5,49.3,12.2,3.6,8.9,67.6,15.8,0.0,10.9,10.8%
J.H.S. 201 The Dyker Heights,Brooklyn,338,101,524,37,-64,64.5,29.9,19.3,51.8,0.6,15.4,31.6,13.4,9.0,75.3,63.2%
M.S. 255 Salk School of Science,Manhattan,108,70,128,9,-61,84.4,64.8,54.7,16.6,1.8,11.4,61.4,16.6,0.5,10.6,14.6%
