,,,,,,,,,,,,,,,,,,,,,,,
,,,,8th graders,7%,,test rate,pass rate,total pass,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index,,,,,,
,,Testers,Offers,,,gain/loss,,,,,,,,,,,,,,,,,
20K187,The Christa McAuliffe School\I.S. 187,251,205,274,19,(186),91.6%,81.7%,74.8%,67.5%,1.3%,6.8%,23.9%,11.3%,3.3%,65.8%,57.9%,,,,,,
21K239,Mark Twain I.S. 239 for the Gifted & Talented,336,196,429,30,(166),78.3%,58.3%,45.7%,27.8%,6.9%,5.7%,51.4%,11.9%,1.1%,37.7%,35.0%,,,,,,
03M054,J.H.S. 054 Booker T. Washington,257,150,282,20,(130),91.1%,58.4%,53.2%,11.0%,8.6%,14.7%,57.7%,11.5%,1.1%,23.8%,21.6%,,,,,,
02M312,New York City Lab Middle School for Collaborative,163,113,181,13,(100),90.1%,69.3%,62.4%,55.1%,2.0%,6.5%,30.0%,16.4%,1.4%,38.3%,38.1%,,,,,,
15K051,M.S. 51 William Alexander,280,122,369,26,(96),75.9%,43.6%,33.1%,16.4%,7.6%,20.4%,51.0%,17.7%,2.2%,28.7%,32.5%,,,,,,
01M539,"New Explorations into Science, Technology and Math",126,91,136,10,(81),92.6%,72.2%,66.9%,33.2%,7.7%,11.8%,39.9%,8.0%,0.8%,22.8%,27.8%,,,,,,
21K098,I.S. 98 Bay Academy,372,104,495,35,(69),75.2%,28.0%,21.0%,27.3%,2.8%,8.8%,58.6%,9.2%,1.4%,55.0%,48.3%,,,,,,
26Q074,J.H.S. 074 Nathaniel Hawthorne,233,95,417,29,(66),55.9%,40.8%,22.8%,66.5%,4.3%,10.7%,17.4%,13.2%,7.6%,48.4%,38.4%,,,,,,
02M114,East Side Middle School,124,75,152,11,(64),81.6%,60.5%,49.3%,12.2%,3.6%,8.9%,67.6%,15.8%,0.0%,10.9%,10.8%,,,,,,
20K201,J.H.S. 201 The Dyker Heights,338,101,524,37,(64),64.5%,29.9%,19.3%,51.8%,0.6%,15.4%,31.6%,13.4%,9.0%,75.3%,63.2%,,"top 10 that would ""lose"" seats",,,,
02M255,M.S. 255 Salk School of Science,108,70,128,9,(61),84.4%,64.8%,54.7%,16.6%,1.8%,11.4%,61.4%,16.6%,0.5%,10.6%,14.6%,,offers,% offers,8th graders,% 8th graders,7%
26Q216,J.H.S. 216 George J. Ryan,304,95,488,34,(61),62.3%,31.3%,19.5%,65.8%,4.9%,13.2%,14.1%,12.7%,6.2%,67.4%,52.8%,,"1,252",24.7%,"3,259",4.2%,228
26Q067,J.H.S. 067 Louis Pasteur,211,82,309,22,(60),68.3%,38.9%,26.5%,60.6%,3.7%,11.7%,22.1%,8.8%,3.9%,40.3%,30.5%,,,,,,
26Q158,M.S. 158 Marie Curie,236,84,381,27,(57),61.9%,35.6%,22.0%,62.3%,4.8%,14.8%,16.6%,12.8%,7.6%,56.0%,42.3%,,,,,,
25Q185,J.H.S. 185 Edward Bleeker,250,93,536,38,(55),46.6%,37.2%,17.4%,55.7%,2.6%,29.8%,11.2%,14.4%,12.5%,76.7%,61.8%,,,,,,
30Q580,Baccalaureate School for Global Education,94,62,119,8,(54),79.0%,66.0%,52.1%,46.1%,3.7%,17.0%,28.5%,5.2%,1.1%,43.0%,38.6%,,,,,,
03M334,The Anderson School,75,58,76,5,(53),98.7%,77.3%,76.3%,27.0%,2.8%,9.1%,51.2%,6.5%,0.2%,8.4%,14.2%,,,,,,
02M167,J.H.S. 167 Robert F. Wagner,258,77,429,30,(47),60.1%,29.8%,17.9%,21.0%,6.0%,15.9%,52.1%,16.2%,3.1%,30.6%,29.2%,,,,,,
20K259,J.H.S. 259 William Mckinley,309,86,580,41,(45),53.3%,27.8%,14.8%,44.4%,1.2%,20.1%,33.6%,12.0%,13.1%,80.5%,73.0%,,,,,,
30Q122,P.S. 122 Mamie Fay,74,49,75,5,(44),98.7%,66.2%,65.3%,26.2%,5.0%,20.2%,43.4%,9.3%,7.9%,53.3%,48.4%,,,,,,
24Q119,I.S. 119 The Glendale,104,59,219,15,(44),47.5%,56.7%,26.9%,25.8%,1.8%,30.4%,39.4%,8.8%,3.6%,73.3%,46.3%,,,,,,
20K686,Brooklyn School of Inquiry,80,46,85,6,(40),94.1%,57.5%,54.1%,20.0%,4.9%,4.9%,67.3%,6.2%,8.7%,22.4%,26.6%,,,,,,
15K447,The Math & Science Exploratory School,134,51,178,12,(39),75.3%,38.1%,28.7%,9.5%,11.4%,20.1%,55.3%,21.4%,0.9%,20.1%,23.2%,,,,,,
22K234,J.H.S. 234 Arthur W. Cunningham,370,79,685,48,(31),54.0%,21.4%,11.5%,24.4%,16.8%,13.0%,44.3%,14.3%,9.8%,71.1%,61.1%,,,,,,
28Q190,J.H.S. 190 Russell Sage,172,53,346,24,(29),49.7%,30.8%,15.3%,33.6%,6.6%,28.0%,28.3%,13.4%,9.5%,42.2%,40.5%,,"top 25 that would ""lose"" seats",,,,
25Q194,J.H.S. 194 William Carr,147,54,393,28,(26),37.4%,36.7%,13.7%,38.6%,1.3%,31.3%,27.7%,16.7%,9.0%,59.5%,47.1%,,offers,% offers,8th graders,% 8th graders,7%
02M104,J.H.S. 104 Simon Baruch,260,53,388,27,(26),67.0%,20.4%,13.7%,33.7%,7.5%,19.0%,34.7%,17.0%,4.1%,43.8%,41.8%,,"2,296",45.3%,"7,893",10.3%,553
20K180,The SEEALL Academy,113,38,175,12,(26),64.6%,33.6%,21.7%,45.6%,0.8%,27.3%,25.0%,15.1%,30.4%,87.9%,83.6%,,,,,,
25Q237,I.S. 237,194,53,426,30,(23),45.5%,27.3%,12.4%,74.6%,5.9%,16.8%,1.9%,13.0%,21.7%,84.3%,72.4%,,,,,,
30Q300,The 30th Avenue School (G&T Citywide),39,26,41,3,(23),95.1%,66.7%,63.4%,43.8%,5.9%,9.0%,31.3%,5.7%,2.2%,26.9%,29.2%,,,,,,
04M012,Tag Young Scholars,54,27,56,4,(23),96.4%,50.0%,48.2%,38.8%,18.6%,17.0%,15.3%,4.6%,0.0%,38.5%,40.2%,,,,,,
